gene_symbol,protein_name,source_databases,GeneCards_raw_names,OMIM_raw_names,TTD_raw_names,GeneCards_present,OMIM_present,TTD_present,normalization_status,normalization_note,species,GeneCards_filter,source_record,source_url
ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",GeneCards,ABL2,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ABRAXAS1,"abraxas 1, BRCA1 A complex subunit",GeneCards,ABRAXAS1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ACACA,acetyl-CoA carboxylase alpha,GeneCards,ACACA,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ACD,ACD shelterin complex subunit and telomerase recruitment factor,GeneCards,ACD,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ACE,angiotensin I converting enzyme,GeneCards,ACE,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ACLY,ATP citrate lyase,GeneCards,ACLY,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ACO2,aconitase 2,GeneCards,ACO2,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ACP1,acid phosphatase 1,GeneCards,ACP1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ACP3,acid phosphatase 3,GeneCards,ACP3,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ACRBP,acrosin binding protein,GeneCards,ACRBP,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ACSL4,acyl-CoA synthetase long chain family member 4,GeneCards,ACSL4,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ACTA2,"actin alpha 2, smooth muscle",GeneCards,ACTA2,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ACTA2-AS1,ACTA2 antisense RNA 1,GeneCards,ACTA2-AS1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ACTB,actin beta,GeneCards,ACTB,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ACTC1,actin alpha cardiac muscle 1,GeneCards,ACTC1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ACTN4,actinin alpha 4,GeneCards,ACTN4,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ACVR1,activin A receptor type 1,GeneCards,ACVR1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ACVR1B,activin A receptor type 1B,GeneCards,ACVR1B,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ACVR2A,activin A receptor type 2A,GeneCards,ACVR2A,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADA,adenosine deaminase,GeneCards,ADA,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADAM10,ADAM metallopeptidase domain 10,GeneCards,ADAM10,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADAM12,ADAM metallopeptidase domain 12,GeneCards,ADAM12,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADAM15,ADAM metallopeptidase domain 15,GeneCards,ADAM15,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADAM17,ADAM metallopeptidase domain 17,GeneCards,ADAM17,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADAM19,ADAM metallopeptidase domain 19,GeneCards,ADAM19,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADAM9,ADAM metallopeptidase domain 9,GeneCards,ADAM9,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADAMTS9-AS2,ADAMTS9 antisense RNA 2,GeneCards,ADAMTS9-AS2,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADAR,adenosine deaminase RNA specific,GeneCards,ADAR,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADAT1,adenosine deaminase tRNA specific 1,GeneCards,ADAT1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADGRB3,adhesion G protein-coupled receptor B3,GeneCards,ADGRB3,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",GeneCards,ADH1B,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",GeneCards,ADH1C,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADIPOQ,"adiponectin, C1Q and collagen domain containing",GeneCards,ADIPOQ,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADIPOR1,adiponectin receptor 1,GeneCards,ADIPOR1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADM,adrenomedullin,GeneCards,ADM,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADORA2A,adenosine A2a receptor,TTD,,,ADORA2A,0,0,1,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADORA2B,adenosine A2b receptor,TTD,,,ADORA2B,0,0,1,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADRB2,adrenoceptor beta 2,GeneCards,ADRB2,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
ADRM1,ADRM1 26S proteasome ubiquitin receptor,GeneCards,ADRM1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AFAP1,actin filament associated protein 1,GeneCards,AFAP1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AFAP1-AS1,AFAP1 antisense RNA 1,GeneCards,AFAP1-AS1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AFDN-DT,AFDN divergent transcript,GeneCards,AFDN-DT,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AFP,alpha fetoprotein,GeneCards,AFP,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AGAP2-AS1,AGAP2 antisense RNA 1,GeneCards,AGAP2-AS1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AGBL4,AGBL carboxypeptidase 4,GeneCards,AGBL4,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AGER,advanced glycosylation end-product specific receptor,GeneCards,AGER,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AGO2,argonaute RISC catalytic component 2,GeneCards,AGO2,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AGR2,"anterior gradient 2, protein disulphide isomerase family member",GeneCards,AGR2,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AGR3,"anterior gradient 3, protein disulphide isomerase family member",GeneCards,AGR3,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AGTR1,angiotensin II receptor type 1,GeneCards,AGTR1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AHCY,adenosylhomocysteinase,GeneCards,AHCY,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AHR,aryl hydrocarbon receptor,GeneCards,AHR,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AICDA,activation induced cytidine deaminase,GeneCards,AICDA,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AIFM1,apoptosis inducing factor mitochondria associated 1,GeneCards,AIFM1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AIM2,absent in melanoma 2,GeneCards,AIM2,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AIMP2,aminoacyl tRNA synthetase complex interacting multifunctional protein 2,GeneCards,AIMP2,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AIP,AHR interacting HSP90 co-chaperone,GeneCards,AIP,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AKAP1,A-kinase anchoring protein 1,GeneCards,AKAP1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AKAP9,A-kinase anchoring protein 9,GeneCards,AKAP9,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AKR1B1,aldo-keto reductase family 1 member B,GeneCards,AKR1B1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AKR1B10,aldo-keto reductase family 1 member B10,GeneCards,AKR1B10,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AKR1C1,aldo-keto reductase family 1 member C1,GeneCards,AKR1C1,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AKR1C3,aldo-keto reductase family 1 member C3,GeneCards,AKR1C3,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AKR7L,aldo-keto reductase family 7 like (gene/pseudogene),GeneCards,AKR7L,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AKT1,AKT serine/threonine kinase 1,GeneCards;OMIM;TTD,AKT1,AKT1,AKT1,1,1,1,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AKT2,AKT serine/threonine kinase 2,GeneCards,AKT2,,,1,0,0,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
AKT3,AKT serine/threonine kinase 3,GeneCards;TTD,AKT3,,AKT3,1,0,1,canonical,matched NCBI Homo sapiens Symbol,Homo sapiens,keyword=colorectal cancer; species=Homo sapiens; Relevance score >=10 (as reported by article),10.1371/journal.pone.0343038.s011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0343038.s011&type=supplementary
